"Name","model.module","test/best_variant","test/auc","test/accuracy","test/f1","test/macro_f1","test/precision","test/recall","model.params.enc_d_model","model.params.enc_nhead","model.params.enc_num_layers","model.params.agg_d_model","model.params.agg_nhead","model.params.agg_num_layers","model.params.dropout","training.class_weights","training.batch_size","training.epochs","training.peak_lr","training.eta_min","training.warmup_fraction"
"260502_sweep2_trf_start_test","mean_transformer","best_auc","0.7334379534946509","0.8136363636363636","0.2115384615384615","0.552934179222839","0.5238095238095238","0.13253012048192772","96","4","2","96","4","2","0.5","[1,4]","4","15","0.00005","0.000001","0.1"
"260502_sweep2_trf_06_test","mean_transformer","best_auc","0.7328304815902265","0.8136363636363636","0.24074074074074073","0.5672615620802149","0.52","0.1566265060240964","96","6","2","96","4","2","0.5","[1,4]","4","15","0.00005","0.000001","0.1"
"260502_sweep2_trf_13_test","mean_transformer","best_auc","0.7291687759441126","0.8136363636363636","0.26785714285714285","0.5805431547619048","0.5172413793103449","0.18072289156626503","128","8","2","128","4","2","0.5","[1,4]","4","15","0.00005","0.000001","0.1"
"260430_auc_start_mean_transformer_test","mean_transformer","","0.7342310418143161","0.8113636363636364","0.26548672566371684","0.578636452792745","0.5","0.18072289156626503","128","4","2","128","4","2","0.4","[1,8]","4","15","0.0001","0.000001","0.1"
"260502_sweep2_trf_09_test","mean_transformer","best_auc","0.7260807937632884","0.8090909090909091","0.045454545454545456","0.46969696969696967","0.4","0.024096385542168676","96","6","3","96","6","3","0.5","[1,4]","4","15","0.00005","0.000001","0.1"
"260502_sweep2_trf_07_test","mean_transformer","best_auc","0.7252877054436233","0.8090909090909091","0.20754716981132076","0.5495100190141875","0.4782608695652174","0.13253012048192772","96","6","2","96","6","2","0.5","[1,4]","4","15","0.00005","0.000001","0.1"
"260502_sweep2_trf_12_test","mean_transformer","best_auc","0.722047855286693","0.8090909090909091","0.23636363636363636","0.5636363636363636","0.48148148148148145","0.1566265060240964","128","4","2","128","4","2","0.5","[1,4]","4","15","0.00005","0.000001","0.1"
"260430_auc_nar_mean_transformer_test","mean_transformer","","0.7267726367655496","0.8068181818181818","0.1414141414141414","0.5162896571347275","0.4375","0.08433734939759036","96","4","2","96","4","2","0.4","[1,8]","4","15","0.0001","0.000001","0.1"
"260502_sweep2_trf_05_test","mean_transformer","best_auc","0.7171374573925957","0.7772727272727272","0.3717948717948718","0.6182178778863862","0.3972602739726027","0.3493975903614458","96","4","4","96","4","4","0.5","[1,4]","4","15","0.00005","0.000001","0.1"
"260502_sweep2_trf_11_test","mean_transformer","best_auc","0.7099321656373393","0.7659090909090909","0.36024844720496896","0.6084969635190353","0.3717948717948718","0.3493975903614458","96","6","4","96","6","4","0.5","[1,4]","4","15","0.00005","0.000001","0.1"
"260502_sweep2_trf_03_test","mean_transformer","best_f1","0.7297087509702676","0.7636363636363637","0.380952380952381","0.6174424826110219","0.3764705882352941","0.3855421686746988","96","4","3","96","4","3","0.5","[1,4]","4","15","0.00005","0.000001","0.1"
"260502_sweep2_trf_10_test","mean_transformer","best_auc","0.7138132361378287","0.740909090909091","0.3736263736263736","0.6051512956957084","0.3434343434343434","0.40963855421686746","96","6","4","96","6","3","0.5","[1,4]","4","15","0.00005","0.000001","0.1"
"260502_sweep2_trf_04_test","mean_transformer","best_f1","0.7172218284904324","0.7340909090909091","0.3606557377049181","0.5963967354234777","0.33","0.39759036144578314","96","4","4","96","4","3","0.5","[1,4]","4","15","0.00005","0.000001","0.1"
"260502_sweep2_trf_02_test","mean_transformer","best_auc","0.7179136714926935","0.7204545454545455","0.39408866995073893","0.6062023851969351","0.3333333333333333","0.4819277108433735","96","4","3","96","4","2","0.5","[1,4]","4","15","0.00005","0.000001","0.1"
"260502_sweep2_trf_08_test","mean_transformer","best_f1","0.7207654145995748","0.6545454545454545","0.43703703703703706","0.5939283545840923","0.3155080213903743","0.7108433734939759","96","6","3","96","6","2","0.5","[1,4]","4","15","0.00005","0.000001","0.1"
"260502_sweep2_trf_14_test","mean_transformer","best_f1","0.7213222638452971","0.6477272727272727","0.3968871595330739","0.5740455059302608","0.29310344827586204","0.6144578313253012","160","8","2","128","4","2","0.5","[1,4]","4","15","0.00005","0.000001","0.1"